customer_id,monthly_spend,tenure_months,login_frequency,support_tickets,churn
1001,87.42,47,12,1,0
1002,191.13,12,10,2,0
1003,151.76,16,7,4,1
1004,127.76,24,13,2,0
1005,48.08,19,7,7,1
1006,48.08,8,24,9,0
1007,30.46,31,17,7,0
1008,175.91,21,10,7,1
1009,128.2,17,29,8,0
1010,147.45,23,10,3,0
1011,23.71,37,24,4,0
1012,194.58,54,4,4,1
1013,169.84,16,20,7,0
1014,58.22,6,4,6,1
1015,52.73,8,22,8,0
1016,53.01,25,7,7,1
1017,74.76,18,22,1,0
1018,114.46,25,1,9,1
1019,97.75,12,12,3,0
1020,72.42,15,24,5,0
1021,130.13,59,13,1,0
1022,45.11,26,10,6,1
1023,72.59,41,15,2,0
1024,85.95,45,27,2,0
1025,102.09,26,13,1,0
1026,161.33,47,23,7,0
1027,55.94,32,22,5,0
1028,112.56,10,22,0,0
1029,126.63,16,21,0,0
1030,28.36,7,22,6,0
1031,129.36,17,28,7,0
1032,50.69,23,9,4,1
1033,31.71,26,26,4,0
1034,190.8,21,9,3,1
1035,193.81,22,15,5,0
1036,165.51,58,10,5,1
1037,74.83,7,24,2,0
1038,37.58,14,26,8,0
1039,143.16,15,25,6,0
1040,99.23,53,29,0,0
1041,41.97,7,10,6,1
1042,109.13,9,8,4,1
1043,26.19,51,24,4,0
1044,183.68,48,16,1,0
1045,66.58,8,17,3,0
1046,139.25,50,26,5,0
1047,76.11,59,27,9,0
1048,113.61,23,5,6,1
1049,118.41,29,4,4,1
1050,53.27,18,18,8,0
1051,194.53,31,24,2,0
1052,159.52,30,19,0,0
1053,189.11,52,4,3,1
1054,181.07,39,28,8,0
1055,127.62,35,7,3,1
1056,185.94,18,10,1,0
1057,35.93,59,25,9,0
1058,55.28,42,18,4,0
1059,28.14,39,19,2,0
1060,78.56,17,4,8,1
1061,89.96,14,10,3,0
1062,68.84,31,1,5,1
1063,169.17,24,23,1,0
1064,84.22,35,18,5,0
1065,70.57,44,5,2,1
1066,117.69,45,15,8,1
1067,45.37,34,17,1,0
1068,164.4,3,3,8,1
1069,33.42,37,12,4,0
1070,197.64,43,2,7,1
1071,159.0,40,1,1,1
1072,55.77,26,23,5,0
1073,20.99,55,21,2,0
1074,166.78,23,17,9,1
1075,147.23,44,22,4,0
1076,151.22,39,16,7,1
1077,158.83,15,5,9,1
1078,33.33,56,15,0,0
1079,84.52,49,3,4,1
1080,40.86,4,28,2,0
1081,175.36,29,7,3,1
1082,132.19,22,11,1,0
1083,79.56,25,10,8,1
1084,31.44,13,9,2,0
1085,75.98,18,14,1,0
1086,78.53,33,13,9,1
1087,151.33,16,29,8,0
1088,134.76,45,25,6,0
1089,179.7,42,25,5,0
1090,105.0,44,2,0,1
1091,41.53,2,3,4,1
1092,148.38,55,7,2,1
1093,156.94,35,21,0,0
1094,121.03,42,18,3,0
1095,158.77,34,3,1,1
1096,108.88,30,10,1,0
1097,114.09,59,22,2,0
1098,96.96,55,29,7,0
1099,24.58,13,7,7,1
1100,39.42,13,9,6,1
1101,25.66,18,17,5,0
1102,134.55,32,11,8,1
1103,76.58,32,7,3,1
1104,111.54,35,24,0,0
1105,183.36,59,28,7,0
1106,64.87,39,14,6,0
1107,93.87,46,19,6,0
1108,156.0,52,4,2,1
1109,61.18,29,26,3,0
1110,33.86,49,6,9,1
1111,72.16,29,10,8,1
1112,49.02,53,7,5,1
1113,187.35,44,13,4,0
1114,165.46,57,14,2,0
1115,134.01,16,4,8,1
